Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,Catch primary,Catch prim,Year
8162430,8162430,8162024,,,,Clifton with Rawcliffe Primary School,2430,2024
8162017,8162017,8162028,8162000,,,Haxby Road Primary Academy,2004,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8163212,8163212,8162227,8162180,,,Huntington Primary Academy,2180,2024
8162058,8162058,,,,,Wigginton Primary School,2240,2024
8163158,8163158,,,,,Lord Deramores Primary School,3158,2024
8162008,8162008,,,,,Fishergate Primary School,2008,2024
8163904,8163904,8163402,,,,Dringhouses Primary School,2007,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8163302,8163302,8162001,8163401,8162429,8162176,Tang Hall Primary School,2429,2024
8163403,8163403,8163302,8162012,8162004,8162429,Tang Hall Primary School,2429,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
8162011,8162011,8162016,,,,Knavesmire Primary School,2011,2024
8162001,8163158,8162001,8163302,8163401,8163403,Tang Hall Primary School,2429,2024
8162033,8162033,8153153,,,,Naburn CE Primary School,3159,2024
8162428,8162428,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
8162029,8162029,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162428,8162428,,,,,Lakeside Primary School,2428,2024
8162021,8162021,8162180,8162015,,,Yearsley Grove Primary School,2015,2024
8162386,8162386,8162000,8162024,8162431,8162003,Scarcroft Primary School,2016,2024
8162017,8162017,8162007,8162027,,,Westfield Community Primary School,2017,2024
8162240,8162240,,,,,Wigginton Primary School,2240,2024
8162012,8162012,8162004,8162016,8163403,,Haxby Road Primary Academy,2004,2024
8162015,8162015,8162180,,,,Yearsley Grove Primary School,2015,2024
8162015,8162015,8162021,,,,Huntington Primary Academy,2180,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8162024,8162024,,,,,Burton Green Primary School,2024,2024
,,8163151,,,,,,2024
8162008,8162008,8163402,,,,St Oswald's CE Primary School,3156,2024
8162018,8162018,,,,,Burton Green Primary School,2024,2024
8162013,8162013,8162007,8162027,8162028,8162017,Westfield Community Primary School,2017,2024
8163002,8163002,,,,,St Barnabas' CE Primary School,3002,2024
8162000,8162000,,,,,St Oswald's CE Primary School,3156,2024
8162000,8162000,,,,,St Oswald's CE Primary School,3156,2024
8162011,8162011,8162016,8162007,,,Knavesmire Primary School,2011,2024
8162176,8162176,,,,,Osbaldwick Primary School,2176,2024
8162012,8162012,8163302,8162429,,,Tang Hall Primary School,2429,2024
8163156,8163156,8163158,,,,St Oswald's CE Primary School,3156,2024
8162018,8162018,,,,,Clifton Green Primary School,2018,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8162430,8162430,8162428,8162018,8162024,,Lakeside Primary School,2428,2024
8162018,8162018,,,,,Clifton Green Primary School,2018,2024
8162024,8162024,,,,,Clifton Green Primary School,2018,2024
8162024,8162024,8162018,,,,Clifton Green Primary School,2018,2024
8162430,8162430,8162428,,,,Clifton with Rawcliffe Primary School,2430,2024
8163222,8163222,8162349,,,,St Mary's CE Primary School,3222,2024
8162431,8162431,8162176,,,,Osbaldwick Primary School,2176,2024
8163403,8163403,8163302,,,,Park Grove Primary Academy,2012,2024
8163403,8163403,8163302,,,,Park Grove Primary Academy,2012,2024
8163003,8163003,8162000,8162028,,,Acomb Primary School,2000,2024
8163302,8163302,8162001,8163158,8162431,8162176,Osbaldwick Primary School,2176,2024
8162241,8162241,8162240,8162058,,,Headlands Primary School,2241,2024
8162003,8162003,8162014,,,,Carr Infant School,2003,2024
8163380,8163380,,,,,Wheldrake with Thorganby CE Primary School,3380,2024
8162430,8162430,8162021,8162058,8162029,,Clifton with Rawcliffe Primary School,2430,2024
8162011,8162011,,,,,Knavesmire Primary School,2011,2024
8162021,8162021,,,,,New Earswick Primary School,2021,2024
8162431,8162431,,,,,Osbaldwick Primary School,2176,2024
8163380,8163380,,,,,Wheldrake with Thorganby CE Primary School,3380,2024
8162001,8162001,8162012,8163158,,,Tang Hall Primary School,2429,2024
8163402,8163402,,,,,Scarcroft Primary School,2016,2024
8162014,8162011,8162014,8163003,,,St Barnabas' CE Primary School,3002,2024
8152165,8152165,8153062,,,,Fishergate Primary School,2008,2024
8162028,8162028,,,,,Woodthorpe Primary School,2027,2024
8163302,8163302,8162012,8163403,,,Haxby Road Primary Academy,2004,2024
8162058,8162058,8163212,,,,Robert Wilkinson Primary School,3212,2024
8162007,8162007,8162017,,,,Westfield Community Primary School,2017,2024
8162033,8162033,,,,,Naburn CE Primary School,3159,2024
8162029,8162029,8162349,,,,Poppleton Ousebank Primary School,2029,2024
8163212,8163212,8162241,8162021,8162240,8162004,Robert Wilkinson Primary School,3212,2024
8163212,8163212,8162241,8162021,8162240,8162004,Robert Wilkinson Primary School,3212,2024
8162015,8162015,,,,,Haxby Road Primary Academy,2004,2024
8162020,8162020,,,,,Osbaldwick Primary School,2176,2024
8162012,8162012,8162004,8163302,,,Park Grove Primary Academy,2012,2024
8162018,8162018,,,,,Clifton Green Primary School,2018,2024
8162180,8162180,,,,,Huntington Primary Academy,2180,2024
,8163222,,,,,,,2024
8162428,8162428,,,,,Lakeside Primary School,2428,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162027,8162027,8162028,,,,Westfield Community Primary School,2017,2024
8162015,8162015,8163302,8162227,8162004,8162001,Haxby Road Primary Academy,2004,2024
8162015,8162015,8162021,8162180,8162001,8163302,Yearsley Grove Primary School,2015,2024
,,8162013,8162386,,,,,2024
,,8163380,8162033,,,Naburn CE Primary School,3159,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8162018,8162018,,,,,Clifton Green Primary School,2018,2024
8162029,8162029,,,,,Poppleton Ousebank Primary School,2029,2024
8162386,8162386,,,,,Bishopthorpe Infant School,2386,2024
8162029,8162029,,,,,Poppleton Ousebank Primary School,2029,2024
8162024,8162024,,,,,Burton Green Primary School,2024,2024
8162011,8162011,8162007,,,,Knavesmire Primary School,2011,2024
,8162349,,,,,,,2024
8163401,8163401,,,,,Tang Hall Primary School,2429,2024
8162013,8162013,8163222,8162007,,,Copmanthorpe Primary School,2013,2024
8162012,8162012,8162004,8162001,,,Haxby Road Primary Academy,2004,2024
8162016,8162016,,,,,Scarcroft Primary School,2016,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162018,8162018,8162024,,,,Burton Green Primary School,2024,2024
8163003,8163003,8162011,,,,St Paul's CE Primary School,3003,2024
8162386,8162386,8162011,8162029,8162013,8162027,Woodthorpe Primary School,2027,2024
8163003,8163003,8162024,8162430,,,Burton Green Primary School,2024,2024
8163151,8163151,8163152,8163158,,,Dunnington CE Primary School,3151,2024
8162015,8162015,8162180,,,,Yearsley Grove Primary School,2015,2024
8163212,8163212,8162058,,,,Robert Wilkinson Primary School,3212,2024
8162018,8162018,8162430,,,,Burton Green Primary School,2024,2024
8162015,8162015,8162180,,,,Yearsley Grove Primary School,2015,2024
8162001,8162001,8163302,,,,Hempland Primary School,2001,2024
8162001,8162001,8163302,,,,Hempland Primary School,2001,2024
8162058,8162058,8162240,,,,Wigginton Primary School,2240,2024
8162004,8162004,8162012,8162015,,,Park Grove Primary Academy,2012,2024
8162024,8162024,,,,,Burton Green Primary School,2024,2024
8162003,8162003,8162028,8162017,,,Carr Infant School,2003,2024
8163222,8163222,,,,,St Mary's CE Primary School,3222,2024
8162003,8162003,8162014,,,,Carr Infant School,2003,2024
8162003,8162003,8162014,,,,Acomb Primary School,2000,2024
3912300,3912996,3912300,3912995,3913476,,Acomb Primary School,2000,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8163403,8163403,8163302,,,,Haxby Road Primary Academy,2004,2024
8162021,8162021,8162180,8162241,,,Yearsley Grove Primary School,2015,2024
8163158,8163158,,,,,Badger Hill Primary School,2431,2024
8163403,8163403,8163402,8163904,8162012,,Fishergate Primary School,2008,2024
8163003,8162000,8163003,8163904,8162014,,Poppleton Road Primary School,2014,2024
8162018,8162018,8162024,,,,Clifton with Rawcliffe Primary School,2430,2024
8163222,8163222,,,,,St Mary's CE Primary School,3222,2024
8162003,8162003,8162000,8162014,8162007,8162349,Carr Infant School,2003,2024
8163380,8163380,8163152,,,,Wheldrake with Thorganby CE Primary School,3380,2024
8162011,8162011,8162016,,,,Scarcroft Primary School,2016,2024
8162029,8162029,8162349,,,,Poppleton Ousebank Primary School,2029,2024
8162027,8162027,8162017,,,,Woodthorpe Primary School,2027,2024
8162003,8162003,8162000,8162014,,,Poppleton Road Primary School,2014,2024
8162227,8162227,,,,,Stockton On The Forest Primary School,2227,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
8162015,8162015,,,,,Yearsley Grove Primary School,2015,2024
8163302,8163302,,,,,Tang Hall Primary School,2429,2024
8163302,8163302,8162429,,,,Tang Hall Primary School,2429,2024
8163904,8163904,8162028,8162000,8162017,,Westfield Community Primary School,2017,2024
8163156,8163156,8163402,8162008,,,St Oswald's CE Primary School,3156,2024
8162017,8162017,,,,,Acomb Primary School,2000,2024
8162014,8162014,,,,,Carr Infant School,2003,2024
8162004,8162004,8163403,,,,Haxby Road Primary Academy,2004,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8163904,8163904,8162029,8162014,,,Carr Infant School,2003,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162018,8162018,,,,,Clifton Green Primary School,2018,2024
,,8162349,,,,,,2024
8162003,8162003,8162014,,,,Carr Infant School,2003,2024
8162428,8162428,8162430,,,,Clifton with Rawcliffe Primary School,2430,2024
8162000,8162000,,,,,Acomb Primary School,2000,2024
8162028,8162028,,,,,Westfield Community Primary School,2017,2024
8162000,8162000,8162029,8162016,8162014,,Acomb Primary School,2000,2024
8162011,8162011,,,,,Knavesmire Primary School,2011,2024
8162014,8162014,,,,,Poppleton Road Primary School,2014,2024
8162176,8162176,,,,,Osbaldwick Primary School,2176,2024
8162021,8162021,,,,,New Earswick Primary School,2021,2024
8163156,8163158,8163156,8162011,8163402,8162008,St Oswald's CE Primary School,3156,2024
8162003,8162003,,,,,Carr Infant School,2003,2024
8162021,8162021,8162180,,,,New Earswick Primary School,2021,2024
8162240,8162240,,,,,Wigginton Primary School,2240,2024
8162028,8162028,,,,,Westfield Community Primary School,2017,2024
8162227,8162227,,,,,Stockton On The Forest Primary School,2227,2024
8162014,8162014,8162000,8162029,,,Poppleton Road Primary School,2014,2024
8162004,8162004,8162012,,,,Haxby Road Primary Academy,2004,2024
8162003,8162003,,,,,Carr Infant School,2003,2024
8163156,8163156,,,,,St Oswald's CE Primary School,3156,2024
8162020,8162020,,,,,St Lawrence's CE Primary School,2020,2024
8162014,8162014,,,,,Westfield Community Primary School,2017,2024
8163156,8163156,,,,,Fishergate Primary School,2008,2024
8162020,8162020,,,,,St Lawrence's CE Primary School,2020,2024
8163151,8163151,,,,,Dunnington CE Primary School,3151,2024
8162058,8162058,8162241,,,,New Earswick Primary School,2021,2024
8162058,8162058,8162241,,,,New Earswick Primary School,2021,2024
8162029,8162029,8162000,8162014,8162017,,Poppleton Ousebank Primary School,2029,2024
8162017,8162017,8162027,,,,Woodthorpe Primary School,2027,2024
8163156,8163156,8162008,8162016,,,Fishergate Primary School,2008,2024
8162008,8162008,,,,,Scarcroft Primary School,2016,2024
8162227,8162227,8162029,,,,Stockton On The Forest Primary School,2227,2024
8162180,8162180,,,,,Huntington Primary Academy,2180,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8162386,8162386,8162013,8162011,8162016,,Bishopthorpe Infant School,2386,2024
8162176,8162176,,,,,Osbaldwick Primary School,2176,2024
8162058,8162058,,,,,Ralph Butterfield Primary School,2058,2024
8162349,8162349,8162169,8163222,8162029,8162003,Carr Infant School,2003,2024
8163380,8163380,8163152,,,,Wheldrake with Thorganby CE Primary School,3380,2024
8162386,8162386,8162016,,,,Bishopthorpe Infant School,2386,2024
8162430,8162430,8162014,,,,Clifton with Rawcliffe Primary School,2430,2024
8162027,8162027,8162028,8162017,,,Westfield Community Primary School,2017,2024
8162176,8162176,8162431,8163302,8162001,8163152,Osbaldwick Primary School,2176,2024
8162015,8162015,,,,,Haxby Road Primary Academy,2004,2024
8163402,8163402,8162033,,,,Naburn CE Primary School,3159,2024
8163156,8163156,,,,,St Oswald's CE Primary School,3156,2024
8162001,8162001,8163302,8162015,8162429,,Hempland Primary School,2001,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8163904,8163904,8162000,8163002,,,Clifton Green Primary School,2018,2024
8162017,8162017,,,,,Hob Moor Community Primary School,2028,2024
3832389,3832389,,,,,St Lawrence's CE Primary School,2020,2024
8162011,8162011,8163156,,,,St Oswald's CE Primary School,3156,2024
8163156,8163158,8163156,8162431,8162008,,Fishergate Primary School,2008,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8163302,8163302,8162001,8163401,,,Tang Hall Primary School,2429,2024
8162011,8162011,8162386,8162016,8162007,,Knavesmire Primary School,2011,2024
8162016,8162016,,,,,Scarcroft Primary School,2016,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8163401,8163401,8163302,8162001,,,Hempland Primary School,2001,2024
8162240,8162240,8162021,8162241,8162058,,Wigginton Primary School,2240,2024
8163158,8163158,8162431,,,,St Lawrence's CE Primary School,2020,2024
8162028,8162028,,,,,Westfield Community Primary School,2017,2024
8162240,8162240,8162058,8162241,,,Wigginton Primary School,2240,2024
8162003,8162003,,,,,Westfield Community Primary School,2017,2024
8162004,8162004,8162430,8162015,,,Haxby Road Primary Academy,2004,2024
8162014,8162000,,,,,Poppleton Road Primary School,2014,2024
8162007,8162007,8162027,,,,Hob Moor Community Primary School,2028,2024
8163222,8163222,8162349,8162013,8162011,,St Mary's CE Primary School,3222,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162058,8162058,,,,,Ralph Butterfield Primary School,2058,2024
8162004,8162004,,,,,Haxby Road Primary Academy,2004,2024
8162011,8162011,8162016,,,,Knavesmire Primary School,2011,2024
8162029,8162029,8162003,8162430,8162349,,Poppleton Ousebank Primary School,2029,2024
8163158,8163158,8162431,8162020,8162429,,Osbaldwick Primary School,2176,2024
8162013,8162013,,,,,,,2024
8162011,8162011,,,,,Bishopthorpe Infant School,2386,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8163152,8163152,8163380,8163151,,,Elvington CE Primary School,3152,2024
8162015,8162015,,,,,Yearsley Grove Primary School,2015,2024
8162241,8162241,8162058,8162240,,,Headlands Primary School,2241,2024
8162003,8162003,8162000,8162007,8162028,8162017,Westfield Community Primary School,2017,2024
8162027,8162027,8162007,8162000,8162028,,Woodthorpe Primary School,2027,2024
8163156,8163156,8163158,8162008,8162011,8162016,Fishergate Primary School,2008,2024
8162011,8162011,8162007,,,,Knavesmire Primary School,2011,2024
8163002,8163002,8162014,,,,St Barnabas' CE Primary School,3002,2024
,,8162386,,,,,,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8162015,8162015,8162180,,,,Yearsley Grove Primary School,2015,2024
8162180,8162180,,,,,Yearsley Grove Primary School,2015,2024
8162029,8162029,8162349,,,,Poppleton Ousebank Primary School,2029,2024
8162386,8162386,,,,,Bishopthorpe Infant School,2386,2024
8162008,8162008,,,,,Fishergate Primary School,2008,2024
8162028,8162028,8163904,8162017,,,Westfield Community Primary School,2017,2024
8162003,8162003,,,,,Carr Infant School,2003,2024
8162015,8162015,,,,,Yearsley Grove Primary School,2015,2024
8162013,8162013,8162386,,,,Copmanthorpe Primary School,2013,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8162386,8162386,8162011,,,,Bishopthorpe Infant School,2386,2024
8162176,8163158,8162176,8162431,8163401,,Osbaldwick Primary School,2176,2024
8162016,8162016,8162011,8163003,,,Westfield Community Primary School,2017,2024
8162029,8162029,8162003,8162000,8162014,8163003,Carr Infant School,2003,2024
8162029,8162029,,,,,Poppleton Ousebank Primary School,2029,2024
8162029,8162029,,,,,Poppleton Ousebank Primary School,2029,2024
8163401,8163401,8162176,8163158,8162431,8162001,Osbaldwick Primary School,2176,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
,,8162349,,,,,,2024
8153252,8153252,,,,,Rufforth Primary School,2349,2024
8163151,8163151,,,,,Dunnington CE Primary School,3151,2024
8163152,8163152,8162011,,,,,,2024
8162240,8162240,8162241,,,,Wigginton Primary School,2240,2024
8162029,8162029,8162017,,,,Westfield Community Primary School,2017,2024
8162058,8162058,,,,,Headlands Primary School,2241,2024
8162430,8162430,8162169,,,,Clifton with Rawcliffe Primary School,2430,2024
8162349,8162349,8162000,8163003,8162017,,Westfield Community Primary School,2017,2024
8162003,8162003,8162014,8162017,,,Carr Infant School,2003,2024
8162029,8162029,,,,,Poppleton Ousebank Primary School,2029,2024
8162003,8162003,8162017,,,,Poppleton Ousebank Primary School,2029,2024
8162241,8162241,,,,,Headlands Primary School,2241,2024
8163402,8163402,,,,,Osbaldwick Primary School,2176,2024
8162016,8162016,8162011,,,,Fishergate Primary School,2008,2024
8162029,8162029,,,,,Poppleton Ousebank Primary School,2029,2024
8162169,8162169,,,,,Wigginton Primary School,2240,2024
8162033,8162033,8162386,,,,Naburn CE Primary School,3159,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8162429,8162429,8162001,8163302,8163401,8162176,Hempland Primary School,2001,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8162176,8162176,,,,,Osbaldwick Primary School,2176,2024
8162428,8162428,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162000,8162000,8163003,,,,Acomb Primary School,2000,2024
8162240,8162240,8162058,8162241,8163212,8162180,Wigginton Primary School,2240,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162058,8162058,,,,,Ralph Butterfield Primary School,2058,2024
8163401,8163401,8163302,,,,Tang Hall Primary School,2429,2024
8162008,8162008,8163402,8162020,,,Fishergate Primary School,2008,2024
8162176,8162176,,,,,Osbaldwick Primary School,2176,2024
8162021,8162021,,,,,New Earswick Primary School,2021,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8163156,8163158,8163156,8162008,8162011,,Fishergate Primary School,2008,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8163302,8163302,8162004,8162012,8162429,8163403,Haxby Road Primary Academy,2004,2024
8162386,8162386,,,,,Bishopthorpe Infant School,2386,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162428,8162428,,,,,Acomb Primary School,2000,2024
8162018,8162018,8162430,,,,Clifton Green Primary School,2018,2024
8163151,8163151,,,,,Dunnington CE Primary School,3151,2024
8162430,8162430,8162428,8162240,,,Clifton with Rawcliffe Primary School,2430,2024
8163212,8163212,8162227,,,,,,2024
8163403,8163403,8162240,,,,Ralph Butterfield Primary School,2058,2024
8162015,8162015,,,,,Yearsley Grove Primary School,2015,2024
8162430,8162430,,,,,Lakeside Primary School,2428,2024
8162003,8162003,8162017,,,,Westfield Community Primary School,2017,2024
8163302,8163302,,,,,Tang Hall Primary School,2429,2024
8163904,8163904,,,,,Poppleton Road Primary School,2014,2024
8162017,8162017,8162028,8162000,8162016,,Westfield Community Primary School,2017,2024
8162013,8162013,8162386,8162007,,,Copmanthorpe Primary School,2013,2024
8162012,8162012,,,,,Park Grove Primary Academy,2012,2024
8163151,8163151,,,,,Dunnington CE Primary School,3151,2024
8162024,8162024,,,,,Burton Green Primary School,2024,2024
8162024,8162024,,,,,Burton Green Primary School,2024,2024
8162020,8162020,,,,,Tang Hall Primary School,2429,2024
8162430,8162430,8162004,8162024,,,Clifton with Rawcliffe Primary School,2430,2024
,,8162013,,8162027,,,,2024
8162000,8162000,,,,,Acomb Primary School,2000,2024
8162349,8162349,8163003,,,,Westfield Community Primary School,2017,2024
8162429,8162429,,,,,Tang Hall Primary School,2429,2024
8162430,8162430,8162428,,,,Clifton with Rawcliffe Primary School,2430,2024
8162430,8162430,8162428,8162018,8162024,,Clifton with Rawcliffe Primary School,2430,2024
8162430,8162430,8162428,,,,Clifton with Rawcliffe Primary School,2430,2024
8162349,8162349,,,,,Rufforth Primary School,2349,2024
8163156,8163156,,,,,St Oswald's CE Primary School,3156,2024
8162028,8162028,,,,,Acomb Primary School,2000,2024
8162004,8162004,,,,,Haxby Road Primary Academy,2004,2024
8162431,8162431,8163158,8162020,8162176,,Lord Deramores Primary School,3158,2024
8163380,8163380,,,,,Wheldrake with Thorganby CE Primary School,3380,2024
8162012,8162012,8162004,,,,Haxby Road Primary Academy,2004,2024
8162015,8162015,8162180,,,,Yearsley Grove Primary School,2015,2024
8162029,8162029,,,,,Poppleton Ousebank Primary School,2029,2024
8162014,8162014,8162003,,,,Carr Infant School,2003,2024
8163302,8163302,8162015,8162429,,,Tang Hall Primary School,2429,2024
8162428,8162428,8162430,8162018,,,Lakeside Primary School,2428,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
8162004,8162004,,,,,Haxby Road Primary Academy,2004,2024
8162011,8162011,,,,,Knavesmire Primary School,2011,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
,,,,,8163156,,,2024
8162430,8162430,8162428,,,,Lakeside Primary School,2428,2024
8162028,8162028,8162000,8163003,,,Westfield Community Primary School,2017,2024
8162012,8162012,8162001,,,,Park Grove Primary Academy,2012,2024
8162430,8162430,8162428,,,,Clifton with Rawcliffe Primary School,2430,2024
8162429,8162429,8163401,,,,Tang Hall Primary School,2429,2024
8162428,8162428,8162430,,,,Lakeside Primary School,2428,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162029,8162029,,,,,Poppleton Ousebank Primary School,2029,2024
8162017,8162017,8162028,,,,Westfield Community Primary School,2017,2024
8163151,8163151,,,,,Dunnington CE Primary School,3151,2024
8162240,8162240,,,,,Wigginton Primary School,2240,2024
8162028,8162028,,,,,Westfield Community Primary School,2017,2024
8162024,8162024,8162018,,,,Burton Green Primary School,2024,2024
8162028,8162028,,,,,Westfield Community Primary School,2017,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8163156,8163156,8163158,8162008,8162011,8163402,Fishergate Primary School,2008,2024
8163402,8163402,8162008,,,,Fishergate Primary School,2008,2024
8163156,8163156,8162008,,,,St Oswald's CE Primary School,3156,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8163158,8163158,8162431,,,,Badger Hill Primary School,2431,2024
8162008,8162008,8163158,8163156,,,Fishergate Primary School,2008,2024
8162058,8162058,,,,,Ralph Butterfield Primary School,2058,2024
8162058,8162058,,,,,Ralph Butterfield Primary School,2058,2024
8162016,8162016,,,,,Fishergate Primary School,2008,2024
8162029,8162029,,,,,Poppleton Ousebank Primary School,2029,2024
8162429,8162429,8162001,,,,Tang Hall Primary School,2429,2024
8162012,8162012,,,,,Park Grove Primary Academy,2012,2024
8163401,8163401,,,,,Tang Hall Primary School,2429,2024
8163401,8163401,,,,,Tang Hall Primary School,2429,2024
8163904,8163904,8163003,8162000,,,St Paul's CE Primary School,3003,2024
8162241,8162241,,,,,Ralph Butterfield Primary School,2058,2024
8163212,8163212,8162241,,,,Robert Wilkinson Primary School,3212,2024
8162011,8162011,,,,,Knavesmire Primary School,2011,2024
8162430,8162430,8162428,8162018,,,Lakeside Primary School,2428,2024
8162018,8162018,8162024,,,,Clifton Green Primary School,2018,2024
8163158,8163158,8162431,8162176,,,Osbaldwick Primary School,2176,2024
,,,8163380,,8162033,,,2024
8162007,8162007,8162028,,,,Hob Moor Community Primary School,2028,2024
8162240,8162240,,,,,Wigginton Primary School,2240,2024
8163156,8163156,,,,,Fishergate Primary School,2008,2024
8162430,8162430,8162428,,,,Clifton with Rawcliffe Primary School,2430,2024
8162008,8162011,8162008,8163156,,,Fishergate Primary School,2008,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8162227,8162227,8162001,,,,Hempland Primary School,2001,2024
8162008,8163158,8162008,,,,Fishergate Primary School,2008,2024
8162017,8162017,8163904,8162028,8162027,8162000,Westfield Community Primary School,2017,2024
8163403,8163403,,,,,Park Grove Primary Academy,2012,2024
8163401,8163401,8162001,8163302,8163402,,Tang Hall Primary School,2429,2024
8163003,8163003,8162000,8162014,,,Poppleton Road Primary School,2014,2024
8162013,8162013,8162386,,,,Copmanthorpe Primary School,2013,2024
8162033,8162033,,,,,Naburn CE Primary School,3159,2024
8162430,8162430,8162014,,,,Clifton Green Primary School,2018,2024
8162386,8162386,8162011,,,,Bishopthorpe Infant School,2386,2024
8162058,8162058,8162241,8162021,,,New Earswick Primary School,2021,2024
8162058,8162058,8162241,8162021,,,New Earswick Primary School,2021,2024
8163156,8163156,,,,,St Oswald's CE Primary School,3156,2024
8163402,8163402,8162008,8162020,,,Fishergate Primary School,2008,2024
8162003,8162003,,,,,Carr Infant School,2003,2024
8162003,8162003,8162007,8162014,8162028,8162000,Acomb Primary School,2000,2024
8162004,8162004,,,,,Haxby Road Primary Academy,2004,2024
8162024,8162024,,,,,Westfield Community Primary School,2017,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162014,8162000,8162014,8162007,8162029,8162003,Carr Infant School,2003,2024
8162431,8162431,8163158,8162001,8163302,,Osbaldwick Primary School,2176,2024
8162014,8162014,8162000,,,,Carr Infant School,2003,2024
8162018,8162018,,,,,Clifton Green Primary School,2018,2024
8162001,8162001,8163302,8162176,8162429,8163158,Hempland Primary School,2001,2024
8162240,8162240,,,,,Wigginton Primary School,2240,2024
8162015,8162015,8163302,,,,Haxby Road Primary Academy,2004,2024
8162428,8162428,8162029,,,,Lakeside Primary School,2428,2024
8162011,8162011,8162016,8163158,,,Knavesmire Primary School,2011,2024
8162015,8162015,,,,,Haxby Road Primary Academy,2004,2024
8162180,8162180,8162015,,,,Huntington Primary Academy,2180,2024
8162003,8162003,,,,,Carr Infant School,2003,2024
8162003,8162003,,,,,Carr Infant School,2003,2024
8162386,8162386,8162007,8162011,,,Dringhouses Primary School,2007,2024
8162000,8162000,8162014,8163003,8162011,8162016,Poppleton Road Primary School,2014,2024
8163380,8163380,,,,,Wheldrake with Thorganby CE Primary School,3380,2024
8162012,8162012,8162001,,,,Tang Hall Primary School,2429,2024
8163158,8163158,8163156,8162008,,,Fishergate Primary School,2008,2024
8163401,8163401,8162176,8162001,8162429,,Osbaldwick Primary School,2176,2024
8162000,8162000,8163904,8162014,8162349,,Acomb Primary School,2000,2024
8162000,8162000,8162017,8163904,,,Acomb Primary School,2000,2024
8163212,8163212,,,,,Stockton On The Forest Primary School,2227,2024
8162016,8162016,8162011,,,,Scarcroft Primary School,2016,2024
8162007,8162007,8162011,8162016,,,Woodthorpe Primary School,2027,2024
8163402,8163402,,,,,St Lawrence's CE Primary School,2020,2024
8162001,8162001,8163401,,,,Hempland Primary School,2001,2024
8162429,8162429,,,,,Tang Hall Primary School,2429,2024
8163151,8163151,,,,,Dunnington CE Primary School,3151,2024
8163403,8162011,8162000,,,,Fishergate Primary School,2008,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8162240,8162240,,,,,Wigginton Primary School,2240,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8162429,8162429,8162001,8162176,,,Tang Hall Primary School,2429,2024
